Seq,AOU,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Genus,Species
2284,13070,Garnet-throated Hummingbird,Colibri ? gorge grenat,Lamprolaima rhami,Apodiformes,Trochilidae,Lamprolaima,rhami
2287,4260,Magnificent Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,Eugenes,fulgens
2290,13100,Purple-crowned Fairy,Colibri f??rique,Heliothryx barroti,Apodiformes,Trochilidae,Heliothryx,barroti
2293,13110,Long-billed Starthroat,Colibri corinne,Heliomaster longirostris,Apodiformes,Trochilidae,Heliomaster,longirostris
2296,4261,Plain-capped Starthroat,Colibri de Constant,Heliomaster constantii,Apodiformes,Trochilidae,Heliomaster,constantii
2299,4371,Bahama Woodstar,Colibri des Bahamas,Calliphlox evelynae,Apodiformes,Trochilidae,Calliphlox,evelynae
2302,13130,Slender Sheartail,Colibri ? queue singuli?re,Doricha enicura,Apodiformes,Trochilidae,Doricha,enicura
2305,13140,Mexican Sheartail,Colibri ?lise,Doricha eliza,Apodiformes,Trochilidae,Doricha,eliza
2308,13150,Sparkling-tailed Hummingbird,Colibri z?m?s,Tilmatura dupontii,Apodiformes,Trochilidae,Tilmatura,dupontii
2311,4370,Lucifer Hummingbird,Colibri lucifer,Calothorax lucifer,Apodiformes,Trochilidae,Calothorax,lucifer
2314,13160,Beautiful Hummingbird,Colibri charmant,Calothorax pulcher,Apodiformes,Trochilidae,Calothorax,pulcher
2317,4280,Ruby-throated Hummingbird,Colibri ? gorge rubis,Archilochus colubris,Apodiformes,Trochilidae,Archilochus,colubris
2320,4290,Black-chinned Hummingbird,Colibri ? gorge noire,Archilochus alexandri,Apodiformes,Trochilidae,Archilochus,alexandri
2323,4295,unid. Ruby-throated / Black-chinned Hummingbird,unid Colibri ? gorge rubis / Colibri ? gorge noire,Archilochus colubris / alexandri,Apodiformes,Trochilidae,Archilochus,colubris / alexandri
2329,4310,Anna's Hummingbird,Colibri d'Anna,Calypte anna,Apodiformes,Trochilidae,Calypte,anna
2332,4300,Costa's Hummingbird,Colibri de Costa,Calypte costae,Apodiformes,Trochilidae,Calypte,costae
2335,4360,Calliope Hummingbird,Colibri calliope,Stellula calliope,Apodiformes,Trochilidae,Stellula,calliope
2338,4350,Bumblebee Hummingbird,Colibri h?lo?se,Atthis heloisa,Apodiformes,Trochilidae,Atthis,heloisa
2341,13190,Wine-throated Hummingbird,Colibri d'Elliot,Atthis ellioti,Apodiformes,Trochilidae,Atthis,ellioti
2344,4320,Broad-tailed Hummingbird,Colibri ? queue large,Selasphorus platycercus,Apodiformes,Trochilidae,Selasphorus,platycercus
2347,4330,Rufous Hummingbird,Colibri roux,Selasphorus rufus,Apodiformes,Trochilidae,Selasphorus,rufus
2350,4340,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,Apodiformes,Trochilidae,Selasphorus,sasin
2353,4335,unid. Rufous Hummingbird / Allen's Hummingbird,unid Colibri roux / Colibri d'Allen,Selasphorus rufus / sasin,Apodiformes,Trochilidae,Selasphorus,rufus / sasin
2356,4402,unid. Hummingbird,unid Colibri sp.,"""Trochilid"" sp.",Apodiformes,Trochilidae,"""Trochilid""",sp.
2359,13360,Slaty-tailed Trogon,Trogon de Mass?na,Trogon massena,Trogoniformes,Trogonidae,Trogon,massena
2362,13260,Black-headed Trogon,Trogon ? t?te noire,Trogon melanocephalus,Trogoniformes,Trogonidae,Trogon,melanocephalus
2365,13270,Citreoline Trogon,Trogon citrin,Trogon citreolus,Trogoniformes,Trogonidae,Trogon,citreolus
2368,13300,Gartered Trogon,Trogon pattu,Trogon caligatus,Trogoniformes,Trogonidae,Trogon,caligatus
2371,3890,Elegant Trogon,Trogon ?l?gant,Trogon elegans,Trogoniformes,Trogonidae,Trogon,elegans
2374,13310,Mountain Trogon,Trogon montagnard,Trogon mexicanus,Trogoniformes,Trogonidae,Trogon,mexicanus
2377,13320,Collared Trogon,Trogon rosalba,Trogon collaris,Trogoniformes,Trogonidae,Trogon,collaris
2380,3891,Eared Quetzal,Quetzal oreillard,Euptilotis neoxenus,Trogoniformes,Trogonidae,Euptilotis,neoxenus
2383,13390,Resplendent Quetzal,Quetzal resplendissant,Pharomachrus mocinno,Trogoniformes,Trogonidae,Pharomachrus,mocinno
2386,3911,Eurasian Hoopoe,Huppe fasci?e,Upupa epops,Upupiformes,Upupidae,Upupa,epops
2389,13440,Puerto Rican Tody,Todier de Porto Rico,Todus mexicanus,Coraciiformes,Todidae,Todus,mexicanus
2392,13450,Tody Motmot,Motmot nain,Hylomanes momotula,Coraciiformes,Momotidae,Hylomanes,momotula
2395,13460,Blue-throated Motmot,Motmot ? gorge bleue,Aspatha gularis,Coraciiformes,Momotidae,Aspatha,gularis
2398,13480,Russet-crowned Motmot,Motmot ? t?te rousse,Momotus mexicanus,Coraciiformes,Momotidae,Momotus,mexicanus
2401,13470,Blue-crowned Motmot,Motmot houtouc,Momotus momota,Coraciiformes,Momotidae,Momotus,momota
2404,13500,Keel-billed Motmot,Motmot ? bec car?n?,Electron carinatum,Coraciiformes,Momotidae,Electron,carinatum
2407,13520,Turquoise-browed Motmot,Motmot ? sourcils bleus,Eumomota superciliosa,Coraciiformes,Momotidae,Eumomota,superciliosa
2410,3901,Ringed Kingfisher,Martin-p?cheur ? ventre roux,Megaceryle torquata,Coraciiformes,Alcedinidae,Megaceryle,torquata
2413,3900,Belted Kingfisher,Martin-p?cheur d'Am?rique,Megaceryle alcyon,Coraciiformes,Alcedinidae,Megaceryle,alcyon
2416,13530,Amazon Kingfisher,Martin-p?cheur d'Amazonie,Chloroceryle amazona,Coraciiformes,Alcedinidae,Chloroceryle,amazona
2419,3910,Green Kingfisher,Martin-p?cheur vert,Chloroceryle americana,Coraciiformes,Alcedinidae,Chloroceryle,americana
2422,13550,American Pygmy Kingfisher,Martin-p?cheur nain,Chloroceryle aenea,Coraciiformes,Alcedinidae,Chloroceryle,aenea
2425,13570,White-necked Puffbird,Tamatia ? front blanc,Notharchus hyperrhynchus,Piciformes,Bucconidae,Notharchus,hyperrhynchus
2428,13600,White-whiskered Puffbird,Tamatia de Lafresnaye,Malacoptila panamensis,Piciformes,Bucconidae,Malacoptila,panamensis
2431,13650,Rufous-tailed Jacamar,Jacamar ? queue rousse,Galbula ruficauda,Piciformes,Galbulidae,Galbula,ruficauda
2434,13700,Emerald Toucanet,Toucanet ?meraude,Aulacorhynchus prasinus,Piciformes,Ramphastidae,Aulacorhynchus,prasinus
2437,13710,Collared Aracari,Ara?ari ? collier,Pteroglossus torquatus,Piciformes,Ramphastidae,Pteroglossus,torquatus
2440,13740,Keel-billed Toucan,Toucan ? car?ne,Ramphastos sulfuratus,Piciformes,Ramphastidae,Ramphastos,sulfuratus
2443,4151,Eurasian Wryneck,Torcol fourmilier,Jynx torquilla,Piciformes,Picidae,Jynx,torquilla
2446,4080,Lewis's Woodpecker,Pic de Lewis,Melanerpes lewis,Piciformes,Picidae,Melanerpes,lewis
2449,13790,Puerto Rican Woodpecker,Pic de Porto Rico,Melanerpes portoricensis,Piciformes,Picidae,Melanerpes,portoricensis
2452,4060,Red-headed Woodpecker,Pic ? t?te rouge,Melanerpes erythrocephalus,Piciformes,Picidae,Melanerpes,erythrocephalus
2455,4070,Acorn Woodpecker,Pic glandivore,Melanerpes formicivorus,Piciformes,Picidae,Melanerpes,formicivorus
2458,13810,Black-cheeked Woodpecker,Pic de Pucheran,Melanerpes pucherani,Piciformes,Picidae,Melanerpes,pucherani
2461,13840,Golden-cheeked Woodpecker,Pic ?l?gant,Melanerpes chrysogenys,Piciformes,Picidae,Melanerpes,chrysogenys
2464,13850,Gray-breasted Woodpecker,Pic alezan,Melanerpes hypopolius,Piciformes,Picidae,Melanerpes,hypopolius
2467,13860,Yucatan Woodpecker,Pic du Yucatan,Melanerpes pygmaeus,Piciformes,Picidae,Melanerpes,pygmaeus
2470,4110,Gila Woodpecker,Pic des saguaros,Melanerpes uropygialis,Piciformes,Picidae,Melanerpes,uropygialis
2473,4100,Golden-fronted Woodpecker,Pic ? front dor?,Melanerpes aurifrons,Piciformes,Picidae,Melanerpes,aurifrons
2476,4090,Red-bellied Woodpecker,Pic ? ventre roux,Melanerpes carolinus,Piciformes,Picidae,Melanerpes,carolinus
2479,4040,Williamson's Sapsucker,Pic de Williamson,Sphyrapicus thyroideus,Piciformes,Picidae,Sphyrapicus,thyroideus
2482,4020,Yellow-bellied Sapsucker,Pic macul?,Sphyrapicus varius,Piciformes,Picidae,Sphyrapicus,varius
2485,4021,Red-naped Sapsucker,Pic ? nuque rouge,Sphyrapicus nuchalis,Piciformes,Picidae,Sphyrapicus,nuchalis
2488,4030,Red-breasted Sapsucker,Pic ? poitrine rouge,Sphyrapicus ruber,Piciformes,Picidae,Sphyrapicus,ruber
2491,4031,hybrid Red-naped x Red-breasted Sapsucker,hybride Pic ? poitrine rouge x ? nuque rouge,Sphyrapicus nuchalis x ruber,Piciformes,Picidae,Sphyrapicus,nuchalis x ruber
2494,4032,unid. Yellow-bellied Sapsucker Complex,unid Pic macul? sp.,Sphyrapicus varius / nuchalis / ruber,Piciformes,Picidae,Sphyrapicus,varius / nuchalis / ruber
2497,4022,unid. Sapsucker,unid Sphyrapicus sp.,Sphyrapicus sp.,Piciformes,Picidae,Sphyrapicus,sp.
2503,3960,Ladder-backed Woodpecker,Pic arlequin,Picoides scalaris,Piciformes,Picidae,Picoides,scalaris
2506,3970,Nuttall's Woodpecker,Pic de Nuttall,Picoides nuttallii,Piciformes,Picidae,Picoides,nuttallii
2509,3940,Downy Woodpecker,Pic mineur,Picoides pubescens,Piciformes,Picidae,Picoides,pubescens
2512,3930,Hairy Woodpecker,Pic chevelu,Picoides villosus,Piciformes,Picidae,Picoides,villosus
2515,3975,Arizona Woodpecker,Pic d'Arizona,Picoides arizonae,Piciformes,Picidae,Picoides,arizonae
2518,3980,Strickland's Woodpecker,Pic de Strickland,Picoides stricklandi,Piciformes,Picidae,Picoides,stricklandi
2521,3950,Red-cockaded Woodpecker,Pic ? face blanche,Picoides borealis,Piciformes,Picidae,Picoides,borealis
2524,3990,White-headed Woodpecker,Pic ? t?te blanche,Picoides albolarvatus,Piciformes,Picidae,Picoides,albolarvatus
2527,4010,American Three-toed Woodpecker,Pic ? dos ray?,Picoides dorsalis,Piciformes,Picidae,Picoides,dorsalis
2530,4000,Black-backed Woodpecker,Pic ? dos noir,Picoides arcticus,Piciformes,Picidae,Picoides,arcticus
2533,13910,Smoky-brown Woodpecker,Pic enfum?,Veniliornis fumigatus,Piciformes,Picidae,Veniliornis,fumigatus
2536,13950,Golden-olive Woodpecker,Pic or-olive,Colaptes rubiginosus,Piciformes,Picidae,Colaptes,rubiginosus
2539,13960,Gray-crowned Woodpecker,Pic ? t?te grise,Colaptes auricularis,Piciformes,Picidae,Colaptes,auricularis
2542,4120,Northern Flicker,Pic flamboyant (groupe auratus),Colaptes auratus auratus,Piciformes,Picidae,Colaptes,auratus auratus
2545,4130,Northern Flicker,Pic flamboyant (groupe cafer),Colaptes auratus cafer,Piciformes,Picidae,Colaptes,auratus cafer
2548,4123,Northern Flicker,Pic flamboyant (groupe non identifi?),Colaptes auratus,Piciformes,Picidae,Colaptes,auratus
2551,4125,hybrid Northern Flicker (Red x Yellow-shafted),hybride Pic flamboyant (cafer x auratus),Colaptes auratus auratus x auratus cafer,Piciformes,Picidae,Colaptes,auratus auratus x auratus cafer
2554,4140,Gilded Flicker,Pic chryso?de,Colaptes chrysoides,Piciformes,Picidae,Colaptes,chrysoides
2557,14000,Chestnut-colored Woodpecker,Pic roux,Celeus castaneus,Piciformes,Picidae,Celeus,castaneus
2560,14010,Lineated Woodpecker,Pic ouentou,Dryocopus lineatus,Piciformes,Picidae,Dryocopus,lineatus
2563,4050,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,Piciformes,Picidae,Dryocopus,pileatus
2566,3920,unid. Woodpecker,unid Pic sp.,"""Woodpecker"" sp.",Piciformes,Picidae,"""Woodpecker""",sp.
2569,14040,Pale-billed Woodpecker,Pic ? bec clair,Campephilus guatemalensis,Piciformes,Picidae,Campephilus,guatemalensis
2572,14050,Imperial Woodpecker,Pic imp?rial,Campephilus imperialis,Piciformes,Picidae,Campephilus,imperialis
2575,14500,Great Antshrike,Grand Batara,Taraba major,Passeriformes,Thamnophilidae,Taraba,major
2578,14510,Barred Antshrike,Batara ray?,Thamnophilus doliatus,Passeriformes,Thamnophilidae,Thamnophilus,doliatus
2581,14560,Russet Antshrike,Batara rousset,Thamnistes anabatinus,Passeriformes,Thamnophilidae,Thamnistes,anabatinus
2584,14570,Plain Antvireo,Batara gorgeret,Dysithamnus mentalis,Passeriformes,Thamnophilidae,Dysithamnus,mentalis
2587,14640,Slaty Antwren,Myrmidon ardois?,Myrmotherula schisticolor,Passeriformes,Thamnophilidae,Myrmotherula,schisticolor
2590,14660,Dot-winged Antwren,Grisin ?toil?,Microrhopias quixensis,Passeriformes,Thamnophilidae,Microrhopias,quixensis
2593,14690,Dusky Antbird,Grisin sombre,Cercomacra tyrannina,Passeriformes,Thamnophilidae,Cercomacra,tyrannina
2596,14840,Scaled Antpitta,Grallaire ?caill?e,Grallaria guatimalensis,Passeriformes,Grallariidae,Grallaria,guatimalensis
2599,14800,Black-faced Antthrush,T?t?ma coq-de-bois,Formicarius analis,Passeriformes,Formicariidae,Formicarius,analis
2602,14260,Tawny-throated Leaftosser,Scl?rure ? gorge rousse,Sclerurus mexicanus,Passeriformes,Furnariidae,Sclerurus,mexicanus
2605,14280,Scaly-throated Leaftosser,Scl?rure ?caill?,Sclerurus guatemalensis,Passeriformes,Furnariidae,Sclerurus,guatemalensis
2608,14080,Rufous-breasted Spinetail,Synallaxe ? poitrine rousse,Synallaxis erythrothorax,Passeriformes,Furnariidae,Synallaxis,erythrothorax
2611,14180,Scaly-throated Foliage-gleaner,Anabate ? lunettes,Anabacerthia variegaticeps,Passeriformes,Furnariidae,Anabacerthia,variegaticeps
2614,14210,Buff-throated Foliage-gleaner,Anabate ? gorge fauve,Automolus ochrolaemus,Passeriformes,Furnariidae,Automolus,ochrolaemus
2617,14220,Ruddy Foliage-gleaner,Anabate rubigineux,Automolus rubiginosus,Passeriformes,Furnariidae,Automolus,rubiginosus
2620,14240,Plain Xenops,Sittine brune,Xenops minutus,Passeriformes,Furnariidae,Xenops,minutus
2623,14310,Tawny-winged Woodcreeper,Grimpar ? ailes rousses,Dendrocincla anabatina,Passeriformes,Furnariidae,Dendrocincla,anabatina
2626,14320,Ruddy Woodcreeper,Grimpar roux,Dendrocincla homochroa,Passeriformes,Furnariidae,Dendrocincla,homochroa
2629,14330,Olivaceous Woodcreeper,Grimpar fauvette,Sittasomus griseicapillus,Passeriformes,Furnariidae,Sittasomus,griseicapillus
2632,14350,Wedge-billed Woodcreeper,Grimpar bec-en-coin,Glyphorynchus spirurus,Passeriformes,Furnariidae,Glyphorynchus,spirurus
2635,14360,Strong-billed Woodcreeper,Grimpar g?ant,Xiphocolaptes promeropirhynchus,Passeriformes,Furnariidae,Xiphocolaptes,promeropirhynchus
2638,14370,Northern Barred-Woodcreeper,Grimpar vermicul?,Dendrocolaptes sanctithomae,Passeriformes,Furnariidae,Dendrocolaptes,sanctithomae
2641,14380,Black-banded Woodcreeper,Grimpar vari?,Dendrocolaptes picumnus,Passeriformes,Furnariidae,Dendrocolaptes,picumnus
2644,14410,Ivory-billed Woodcreeper,Grimpar ? bec ivoire,Xiphorhynchus flavigaster,Passeriformes,Furnariidae,Xiphorhynchus,flavigaster
2647,14430,Spotted Woodcreeper,Grimpar tachet?,Xiphorhynchus erythropygius,Passeriformes,Furnariidae,Xiphorhynchus,erythropygius
2650,14440,White-striped Woodcreeper,Grimpar givr?,Lepidocolaptes leucogaster,Passeriformes,Furnariidae,Lepidocolaptes,leucogaster
2653,14450,Streak-headed Woodcreeper,Grimpar de Souleyet,Lepidocolaptes souleyetii,Passeriformes,Furnariidae,Lepidocolaptes,souleyetii
2656,14460,Spot-crowned Woodcreeper,Grimpar mouchet?,Lepidocolaptes affinis,Passeriformes,Furnariidae,Lepidocolaptes,affinis
2659,14035,unid. Woodcreeper,unid Grimpar sp.,Dendrocolaptid sp.,Passeriformes,Furnariidae,Dendrocolaptid,sp.
2662,14940,Yellow-bellied Tyrannulet,Tyranneau ? ventre jaune,Ornithion semiflavum,Passeriformes,Tyrannidae,Ornithion,semiflavum
2665,4720,Northern Beardless-Tyrannulet,Tyranneau imberbe,Camptostoma imberbe,Passeriformes,Tyrannidae,Camptostoma,imberbe
2668,15030,Greenish Elaenia,?l?nie verd?tre,Myiopagis viridicata,Passeriformes,Tyrannidae,Myiopagis,viridicata
2671,15040,Caribbean Elaenia,?l?nie siffleuse,Elaenia martinica,Passeriformes,Tyrannidae,Elaenia,martinica
2674,15050,Yellow-bellied Elaenia,?l?nie ? ventre jaune,Elaenia flavogaster,Passeriformes,Tyrannidae,Elaenia,flavogaster
2680,15110,Ochre-bellied Flycatcher,Pipromorphe rouss?tre,Mionectes oleagineus,Passeriformes,Tyrannidae,Mionectes,oleagineus
2683,15120,Sepia-capped Flycatcher,Pipromorphe ? t?te brune,Leptopogon amaurocephalus,Passeriformes,Tyrannidae,Leptopogon,amaurocephalus
2686,14930,Paltry Tyrannulet,Tyranneau gobemoucheron,Zimmerius vilissimus,Passeriformes,Tyrannidae,Zimmerius,vilissimus
2689,15210,Northern Bentbill,Tyranneau ? bec courbe,Oncostoma cinereigulare,Passeriformes,Tyrannidae,Oncostoma,cinereigulare
2692,15230,Slate-headed Tody-Flycatcher,Todirostre de Desmarest,Poecilotriccus sylvia,Passeriformes,Tyrannidae,Poecilotriccus,sylvia
2695,15240,Common Tody-Flycatcher,Todirostre familier,Todirostrum cinereum,Passeriformes,Tyrannidae,Todirostrum,cinereum
2698,15270,Eye-ringed Flatbill,Platyrhynque ? bec court,Rhynchocyclus brevirostris,Passeriformes,Tyrannidae,Rhynchocyclus,brevirostris
2701,15290,Yellow-olive Flycatcher,Platyrhynque jaune-olive,Tolmomyias sulphurescens,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens
2704,15310,Stub-tailed Spadebill,Platyrhynque ? queue courte,Platyrinchus cancrominus,Passeriformes,Tyrannidae,Platyrinchus,cancrominus
2707,15340,Royal Flycatcher,Moucherolle royal,Onychorhynchus coronatus,Passeriformes,Tyrannidae,Onychorhynchus,coronatus
2710,15350,Ruddy-tailed Flycatcher,Moucherolle rougequeue,Terenotriccus erythrurus,Passeriformes,Tyrannidae,Terenotriccus,erythrurus
2713,15370,Sulphur-rumped Flycatcher,Moucherolle ? croupion jaune,Myiobius sulphureipygius,Passeriformes,Tyrannidae,Myiobius,sulphureipygius
2716,15420,Belted Flycatcher,Moucherolle ceintur?,Xenotriccus callizonus,Passeriformes,Tyrannidae,Xenotriccus,callizonus
2719,15430,Pileated Flycatcher,Moucherolle azt?que,Xenotriccus mexicanus,Passeriformes,Tyrannidae,Xenotriccus,mexicanus
2722,15440,Tufted Flycatcher,Moucherolle hupp?,Mitrephanes phaeocercus,Passeriformes,Tyrannidae,Mitrephanes,phaeocercus
2725,4590,Olive-sided Flycatcher,Moucherolle ? c?t?s olive,Contopus cooperi,Passeriformes,Tyrannidae,Contopus,cooperi
2728,4600,Greater Pewee,Moucherolle de Coues,Contopus pertinax,Passeriformes,Tyrannidae,Contopus,pertinax
2731,4620,Western Wood-Pewee,Pioui de l'Ouest,Contopus sordidulus,Passeriformes,Tyrannidae,Contopus,sordidulus
2734,4610,Eastern Wood-Pewee,Pioui de l'Est,Contopus virens,Passeriformes,Tyrannidae,Contopus,virens
2737,15470,Tropical Pewee,Moucherolle cendr?,Contopus cinereus,Passeriformes,Tyrannidae,Contopus,cinereus
2746,15490,Lesser Antillean Pewee,Moucherolle gobemouche,Contopus latirostris,Passeriformes,Tyrannidae,Contopus,latirostris
2749,4630,Yellow-bellied Flycatcher,Moucherolle ? ventre jaune,Empidonax flaviventris,Passeriformes,Tyrannidae,Empidonax,flaviventris
2752,4650,Acadian Flycatcher,Moucherolle vert,Empidonax virescens,Passeriformes,Tyrannidae,Empidonax,virescens
2755,4661,Alder Flycatcher,Moucherolle des aulnes,Empidonax alnorum,Passeriformes,Tyrannidae,Empidonax,alnorum
2758,4660,Willow Flycatcher,Moucherolle des saules,Empidonax traillii,Passeriformes,Tyrannidae,Empidonax,traillii
2761,4665,unid. Alder Flycatcher / Willow Flycatcher,unid Moucherolle des aulnes / des saules,Empidonax alnorum / traillii,Passeriformes,Tyrannidae,Empidonax,alnorum / traillii
2764,15500,White-throated Flycatcher,Moucherolle ? gorge blanche,Empidonax albigularis,Passeriformes,Tyrannidae,Empidonax,albigularis
2767,4670,Least Flycatcher,Moucherolle tch?bec,Empidonax minimus,Passeriformes,Tyrannidae,Empidonax,minimus
2770,4680,Hammond's Flycatcher,Moucherolle de Hammond,Empidonax hammondii,Passeriformes,Tyrannidae,Empidonax,hammondii
2773,4691,Gray Flycatcher,Moucherolle gris,Empidonax wrightii,Passeriformes,Tyrannidae,Empidonax,wrightii
2776,4690,Dusky Flycatcher,Moucherolle sombre,Empidonax oberholseri,Passeriformes,Tyrannidae,Empidonax,oberholseri
2779,4689,unid. Hammond's Flycatcher / Dusky Flycatcher,unid Moucherolle Hammond's / Moucherolle Dusky,Empidonax hammondii / oberholseri,Passeriformes,Tyrannidae,Empidonax,hammondii / oberholseri
2782,15520,Pine Flycatcher,Moucherolle des pins,Empidonax affinis,Passeriformes,Tyrannidae,Empidonax,affinis
2785,4641,Pacific-slope Flycatcher,Moucherolle c?tier,Empidonax difficilis,Passeriformes,Tyrannidae,Empidonax,difficilis
2788,4640,Cordilleran Flycatcher,Moucherolle des ravins,Empidonax occidentalis,Passeriformes,Tyrannidae,Empidonax,occidentalis
2791,4642,unid. Cordilleran / Pacific-slope Flycatcher,unid Moucherolle c?tier / Moucherolle des ravins,Empidonax difficilis / occidentalis,Passeriformes,Tyrannidae,Empidonax,difficilis / occidentalis
2794,15530,Yellowish Flycatcher,Moucherolle jaun?tre,Empidonax flavescens,Passeriformes,Tyrannidae,Empidonax,flavescens
2797,4700,Buff-breasted Flycatcher,Moucherolle beige,Empidonax fulvifrons,Passeriformes,Tyrannidae,Empidonax,fulvifrons
2800,4679,unid. Empidonax Flycatcher,unid Empidonax sp.,Empidonax sp.,Passeriformes,Tyrannidae,Empidonax,sp.
2803,4580,Black Phoebe,Moucherolle noir,Sayornis nigricans,Passeriformes,Tyrannidae,Sayornis,nigricans
2806,4560,Eastern Phoebe,Moucherolle ph?bi,Sayornis phoebe,Passeriformes,Tyrannidae,Sayornis,phoebe
2809,4570,Say's Phoebe,Moucherolle ? ventre roux,Sayornis saya,Passeriformes,Tyrannidae,Sayornis,saya
2812,4710,Vermilion Flycatcher,Moucherolle vermillon,Pyrocephalus rubinus,Passeriformes,Tyrannidae,Pyrocephalus,rubinus
2815,15580,Bright-rumped Attila,Attila ? croupion jaune,Attila spadiceus,Passeriformes,Tyrannidae,Attila,spadiceus
2818,15600,Rufous Mourner,Tyran plaintif,Rhytipterna holerythra,Passeriformes,Tyrannidae,Rhytipterna,holerythra
2821,15620,Yucatan Flycatcher,Tyran du Yucatan,Myiarchus yucatanensis,Passeriformes,Tyrannidae,Myiarchus,yucatanensis
2824,4550,Dusky-capped Flycatcher,Tyran oliv?tre,Myiarchus tuberculifer,Passeriformes,Tyrannidae,Myiarchus,tuberculifer
2827,4540,Ash-throated Flycatcher,Tyran ? gorge cendr?e,Myiarchus cinerascens,Passeriformes,Tyrannidae,Myiarchus,cinerascens
2830,4531,Nutting's Flycatcher,Tyran de Nutting,Myiarchus nuttingi,Passeriformes,Tyrannidae,Myiarchus,nuttingi
2833,4520,Great Crested Flycatcher,Tyran hupp?,Myiarchus crinitus,Passeriformes,Tyrannidae,Myiarchus,crinitus
2836,4530,Brown-crested Flycatcher,Tyran de Wied,Myiarchus tyrannulus,Passeriformes,Tyrannidae,Myiarchus,tyrannulus
2839,4551,La Sagra's Flycatcher,Tyran de La Sagra,Myiarchus sagrae,Passeriformes,Tyrannidae,Myiarchus,sagrae
2842,15680,Puerto Rican Flycatcher,Tyran de Porto Rico,Myiarchus antillarum,Passeriformes,Tyrannidae,Myiarchus,antillarum
2845,15700,Flammulated Flycatcher,Tyran flamm?,Deltarhynchus flammulatus,Passeriformes,Tyrannidae,Deltarhynchus,flammulatus
2848,4490,Great Kiskadee,Tyran quiquivi,Pitangus sulphuratus,Passeriformes,Tyrannidae,Pitangus,sulphuratus
2851,15720,Boat-billed Flycatcher,Tyran pitangua,Megarynchus pitangua,Passeriformes,Tyrannidae,Megarynchus,pitangua
2854,4500,Social Flycatcher,Tyran sociable,Myiozetetes similis,Passeriformes,Tyrannidae,Myiozetetes,similis
2857,15780,Streaked Flycatcher,Tyran audacieux,Myiodynastes maculatus,Passeriformes,Tyrannidae,Myiodynastes,maculatus
2860,4510,Sulphur-bellied Flycatcher,Tyran tigr?,Myiodynastes luteiventris,Passeriformes,Tyrannidae,Myiodynastes,luteiventris
2863,15790,Piratic Flycatcher,Tyran pirate,Legatus leucophaius,Passeriformes,Tyrannidae,Legatus,leucophaius
2866,4511,Variegated Flycatcher,Tyran tachet?,Empidonomus varius,Passeriformes,Tyrannidae,Empidonomus,varius
2872,4460,Tropical Kingbird,Tyran m?lancolique,Tyrannus melancholicus,Passeriformes,Tyrannidae,Tyrannus,melancholicus
2875,4461,Couch's Kingbird,Tyran de Couch,Tyrannus couchii,Passeriformes,Tyrannidae,Tyrannus,couchii
2878,4462,unid. Tropical Kingbird / Couch's Kingbird,unid Tyran m?lancolique / Tyran de Couch,Tyrannus melancholicus / couchii,Passeriformes,Tyrannidae,Tyrannus,melancholicus / couchii
2881,4480,Cassin's Kingbird,Tyran de Cassin,Tyrannus vociferans,Passeriformes,Tyrannidae,Tyrannus,vociferans
2884,4451,Thick-billed Kingbird,Tyran ? bec ?pais,Tyrannus crassirostris,Passeriformes,Tyrannidae,Tyrannus,crassirostris
2887,4470,Western Kingbird,Tyran de l'Ouest,Tyrannus verticalis,Passeriformes,Tyrannidae,Tyrannus,verticalis
2890,4440,Eastern Kingbird,Tyran tritri,Tyrannus tyrannus,Passeriformes,Tyrannidae,Tyrannus,tyrannus
2893,4450,Gray Kingbird,Tyran gris,Tyrannus dominicensis,Passeriformes,Tyrannidae,Tyrannus,dominicensis
2896,4452,Loggerhead Kingbird,Tyran t?te-police,Tyrannus caudifasciatus,Passeriformes,Tyrannidae,Tyrannus,caudifasciatus
2899,4447,unid. Kingbird,unid Tyran sp.,Tyrannus sp.,Passeriformes,Tyrannidae,Tyrannus,sp.
2902,4430,Scissor-tailed Flycatcher,Tyran ? longue queue,Tyrannus forficatus,Passeriformes,Tyrannidae,Tyrannus,forficatus
2905,4420,Fork-tailed Flycatcher,Tyran des savanes,Tyrannus savana,Passeriformes,Tyrannidae,Tyrannus,savana
2908,16010,Thrush-like Schiffornis,Antriade turdo?de,Schiffornis turdina,Passeriformes,Tityridae,Schiffornis,turdina
2911,15590,Speckled Mourner,Aulia tachet?,Laniocera rufescens,Passeriformes,Tityridae,Laniocera,rufescens
2914,15890,Masked Tityra,Tityre masqu?,Tityra semifasciata,Passeriformes,Tityridae,Tityra,semifasciata
2917,15900,Black-crowned Tityra,Tityre ? t?te noire,Tityra inquisitor,Passeriformes,Tityridae,Tityra,inquisitor
2920,15830,Cinnamon Becard,B?carde cannelle,Pachyramphus cinnamomeus,Passeriformes,Tityridae,Pachyramphus,cinnamomeus
2923,15840,White-winged Becard,B?carde ? ailes blanches,Pachyramphus polychopterus,Passeriformes,Tityridae,Pachyramphus,polychopterus
